plugin,timestamp,direction,src,sport,dst,dport,uri,framework_id,field_name,command_id,command_name,task_guid,task,encrypted_size,plaintext_size,payload_offset,status,backend,validation,source_sha256,artifact_type,artifact_offset,artifact_size,artifact_sha256,artifact_filename,error,preview
nimplant,1722362198.576252,request,10.0.2.2,61395,10.0.2.15,4444,/api/v2/query,gxksd3v7,data,,,mKetyp74,,180265,180249,,success,openssl,Nimplant task result; carved PNG image,0260640d481da644ed64a8f85046a333b368909ff1339278eb0727b320d084e7,PNG image,0,113277,69f1cf7d31e5133017fb4dfc9d81a96ec90683c577c6abbcb454325e5e00b4f3,artifact_request_gxksd3v7_mKetyp74_1722362198.576252_69f1cf7d31e5.png,,"Result mKetyp74:
<base64 result decodes through nested base64/gzip to PNG image, 113277 bytes>"
nimplant,1722362251.858400,transfer,10.0.2.15,4444,10.0.2.2,61395,/api/v2/ping/37fd453cbfb4794f48283819f010a9fe,gxksd3v7,body,,,CVbPWFec,,76224,144384,,artifact,openssl,Nimplant transfer artifact gunzip/base64/AES-CTR/zlib decodes to Windows PE executable,edfa88168aa03c065bf24de88c65e222118764023be3ed859df3fb0ff7adaf25,Windows PE executable,0,144384,edfa88168aa03c065bf24de88c65e222118764023be3ed859df3fb0ff7adaf25,artifact_transfer_gxksd3v7_CVbPWFec_1722362251.858400_edfa88168aa0.exe,,"Carved Windows PE executable transfer body (144384 bytes, gunzip/base64/AES-CTR/zlib decodes to)"
